epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.946314,2.14224,3.18753,1.87471,0.00389,0.53846,0.05611,0.02865,2.36911,3.33988,1.80637,0,0,0
2,1.83616,2.3692,3.31729,1.98043,0.005,0.69231,0.02467,0.01193,2.39598,3.33733,1.802,1.9901e-05,1.9901e-05,1.9901e-05
3,3.28099,2.20418,3.35973,1.92988,0.00444,0.61538,0.05013,0.03142,2.42183,3.35425,1.82776,3.9604e-05,3.9604e-05,3.9604e-05
4,3.86664,2.30366,3.34553,2.02856,0.00444,0.61538,0.06937,0.02241,2.43235,3.36445,1.83466,5.9109e-05,5.9109e-05,5.9109e-05
5,4.42566,2.24702,3.34556,2.04273,0.00444,0.61538,0.05307,0.02514,2.45667,3.36986,1.84793,7.8416e-05,7.8416e-05,7.8416e-05
6,4.87845,2.28528,3.36607,2.0499,0.00444,0.61538,0.04345,0.01953,2.45655,3.39754,1.86488,9.7525e-05,9.7525e-05,9.7525e-05
7,5.3686,2.25593,3.2558,1.97107,0.005,0.69231,0.05672,0.02868,2.14537,3.37881,1.70665,0.000116436,0.000116436,0.000116436
8,6.03515,2.0143,3.19528,1.72337,0.005,0.69231,0.22016,0.11382,1.76167,3.33739,1.48322,0.000135149,0.000135149,0.000135149
9,6.67953,1.78293,3.18917,1.53562,0.005,0.69231,0.25944,0.18412,1.54513,3.19203,1.3472,0.000153664,0.000153664,0.000153664
10,7.26193,1.6757,2.99772,1.57216,0.00556,0.76923,0.31832,0.20088,1.41593,3.15677,1.29766,0.000171981,0.000171981,0.000171981
11,7.97655,1.68349,2.97243,1.40955,0.00611,0.84615,0.30021,0.19924,1.42723,3.12624,1.28165,0.0001901,0.0001901,0.0001901
12,8.59571,1.59499,2.82586,1.44472,0.00667,0.92308,0.44507,0.29879,1.26426,3.03614,1.18108,0.000208021,0.000208021,0.000208021
13,9.2128,1.6105,2.77471,1.42963,0.00667,0.92308,0.45096,0.29935,1.30472,3.00861,1.23032,0.000225744,0.000225744,0.000225744
14,10.7696,1.42206,2.50969,1.21586,0.00722,1,0.37953,0.28289,1.31812,3.04292,1.26868,0.000243269,0.000243269,0.000243269
15,11.4067,1.4177,2.41331,1.30799,0.00722,1,0.37732,0.24975,1.35362,3.05349,1.27969,0.000260596,0.000260596,0.000260596
16,12.0338,1.37976,2.32837,1.24833,0.00722,1,0.41419,0.29828,1.38645,3.0353,1.28282,0.000277725,0.000277725,0.000277725
17,13.263,1.34064,2.26468,1.21444,0.00722,1,0.49571,0.35873,1.30284,2.97036,1.20252,0.000294656,0.000294656,0.000294656
18,14.1981,1.66948,2.29733,1.42633,0.00722,1,0.49571,0.35873,1.30284,2.97036,1.20252,0.000311389,0.000311389,0.000311389
19,15.1495,1.38727,2.08225,1.20948,0.00722,1,0.5024,0.29708,1.29576,2.93538,1.16688,0.000327924,0.000327924,0.000327924
20,16.0647,1.50872,2.10828,1.2891,0.00722,1,0.5024,0.29708,1.29576,2.93538,1.16688,0.000344261,0.000344261,0.000344261
21,16.728,1.48887,2.01645,1.28018,0.00722,1,0.54607,0.33373,1.26399,2.88183,1.11103,0.0003604,0.0003604,0.0003604
22,17.3201,1.57406,2.15698,1.29521,0.00722,1,0.54607,0.33373,1.26399,2.88183,1.11103,0.000376341,0.000376341,0.000376341
23,17.9352,1.36583,2.00953,1.21423,0.00722,1,0.55902,0.31381,1.32438,2.78606,1.10103,0.000392084,0.000392084,0.000392084
24,18.5323,1.48187,1.87485,1.27697,0.00722,1,0.55902,0.31381,1.32438,2.78606,1.10103,0.000407629,0.000407629,0.000407629
25,19.1542,1.4395,1.9065,1.30539,0.00722,1,0.52449,0.2974,1.408,2.81024,1.1524,0.000422976,0.000422976,0.000422976
26,19.8625,1.48775,1.81263,1.27473,0.00722,1,0.52449,0.2974,1.408,2.81024,1.1524,0.000438125,0.000438125,0.000438125
27,20.4962,1.40232,1.74885,1.21721,0.00722,1,0.51547,0.31819,1.41683,2.78051,1.17315,0.000453076,0.000453076,0.000453076
28,21.094,1.4073,1.66448,1.28092,0.00722,1,0.51547,0.31819,1.41683,2.78051,1.17315,0.000467829,0.000467829,0.000467829
29,21.9211,1.28549,1.62791,1.30091,0.01225,0.92308,0.59557,0.38236,1.25971,2.70417,1.08117,0.000482384,0.000482384,0.000482384
30,22.5471,1.449,1.56512,1.28012,0.01225,0.92308,0.59557,0.38236,1.25971,2.70417,1.08117,0.000496741,0.000496741,0.000496741
31,23.1728,1.38948,1.67297,1.26256,0.00722,1,0.58308,0.34916,1.40386,2.80812,1.17134,0.0005109,0.0005109,0.0005109
32,23.7641,1.37448,1.58605,1.26619,0.00722,1,0.58308,0.34916,1.40386,2.80812,1.17134,0.000524861,0.000524861,0.000524861
33,24.3965,1.40275,1.54092,1.2829,0.00722,1,0.57958,0.25607,1.81775,2.99106,1.32907,0.000538624,0.000538624,0.000538624
34,24.8978,1.43625,1.61065,1.2492,0.00722,1,0.57958,0.25607,1.81775,2.99106,1.32907,0.000552189,0.000552189,0.000552189
35,25.6477,1.39926,1.42027,1.21845,0.3561,0.76923,0.61258,0.27511,1.60618,2.81951,1.20483,0.000565556,0.000565556,0.000565556
36,26.4778,1.35565,1.4705,1.27266,0.3561,0.76923,0.61258,0.27511,1.60618,2.81951,1.20483,0.000578725,0.000578725,0.000578725
37,27.4576,1.46671,1.55326,1.34719,1,0.14739,0.67085,0.41569,1.40187,2.66214,1.14621,0.000591696,0.000591696,0.000591696
38,28.3554,1.38058,1.39535,1.19613,1,0.14739,0.67085,0.41569,1.40187,2.66214,1.14621,0.000604469,0.000604469,0.000604469
39,29.4334,1.30953,1.38496,1.19721,1,0.27439,0.61381,0.39784,1.41299,2.63722,1.17569,0.000617044,0.000617044,0.000617044
40,30.1393,1.07781,1.27043,1.10232,1,0.27439,0.61381,0.39784,1.41299,2.63722,1.17569,0.000629421,0.000629421,0.000629421
41,30.7614,1.19834,1.53279,1.19987,0.21728,0.53846,0.46687,0.33791,1.25544,2.71222,1.12649,0.0006416,0.0006416,0.0006416
42,31.5766,1.23863,1.40242,1.21314,0.21728,0.53846,0.46687,0.33791,1.25544,2.71222,1.12649,0.000653581,0.000653581,0.000653581
43,32.2008,1.04372,1.28868,1.0995,0.60662,0.38462,0.40696,0.27387,1.32755,2.71065,1.14286,0.000665364,0.000665364,0.000665364
44,32.82,1.13163,1.52654,1.17873,0.60662,0.38462,0.40696,0.27387,1.32755,2.71065,1.14286,0.000676949,0.000676949,0.000676949
45,33.4175,1.3604,1.45727,1.18287,0.66565,0.38462,0.40918,0.25087,1.32554,2.73682,1.14379,0.000688336,0.000688336,0.000688336
46,34.0078,1.22815,1.40142,1.2025,0.66565,0.38462,0.40918,0.25087,1.32554,2.73682,1.14379,0.000699525,0.000699525,0.000699525
47,34.6433,1.0836,1.29425,1.09099,0.62402,0.25848,0.37833,0.25452,1.3843,2.81501,1.21176,0.000710516,0.000710516,0.000710516
48,35.2549,1.13871,1.31642,1.17851,0.62402,0.25848,0.37833,0.25452,1.3843,2.81501,1.21176,0.000721309,0.000721309,0.000721309
49,35.8526,1.36159,1.51892,1.28295,0.98524,0.30769,0.49867,0.31272,1.42356,2.7639,1.2275,0.000731904,0.000731904,0.000731904
50,36.4714,1.18879,1.28499,1.15907,0.98524,0.30769,0.49867,0.31272,1.42356,2.7639,1.2275,0.000742301,0.000742301,0.000742301
51,37.0852,1.1988,1.46438,1.23089,1,0.28473,0.58529,0.33188,1.45136,2.83023,1.24833,0.0007525,0.0007525,0.0007525
52,37.681,1.18792,1.28144,1.16518,1,0.28473,0.58529,0.33188,1.45136,2.83023,1.24833,0.000762501,0.000762501,0.000762501
53,38.2694,1.20416,1.35997,1.15684,1,0.28473,0.58529,0.33188,1.45136,2.83023,1.24833,0.000772304,0.000772304,0.000772304
54,39.0985,1.24524,1.25797,1.19393,1,0.29331,0.65424,0.36017,1.48653,2.78836,1.27573,0.000781909,0.000781909,0.000781909
55,39.9788,1.14996,1.59478,1.1455,1,0.29331,0.65424,0.36017,1.48653,2.78836,1.27573,0.000791316,0.000791316,0.000791316
56,40.9109,1.11408,1.31411,1.10885,1,0.29331,0.65424,0.36017,1.48653,2.78836,1.27573,0.000800525,0.000800525,0.000800525
57,41.8532,1.12625,1.27348,1.14921,1,0.27561,0.52466,0.30229,1.51351,2.82771,1.3095,0.000809536,0.000809536,0.000809536
58,42.8002,1.07974,1.27124,1.06959,1,0.27561,0.52466,0.30229,1.51351,2.82771,1.3095,0.000818349,0.000818349,0.000818349
59,43.475,1.20113,1.24883,1.14838,1,0.27561,0.52466,0.30229,1.51351,2.82771,1.3095,0.000826964,0.000826964,0.000826964
