epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.425002,3.85208,3.89945,4.18712,0.00111,0.15385,0.00075,0.00044,3.11911,4.14357,4.1595,0,0,0
2,1.19539,3.71316,4.12397,4.21633,0.00111,0.15385,0.00075,0.00044,3.11911,4.14368,4.15951,1.99802e-05,1.99802e-05,1.99802e-05
3,1.85202,3.70941,3.94319,4.19319,0.00111,0.15385,0.00075,0.00044,3.1194,4.14109,4.15964,3.99208e-05,3.99208e-05,3.99208e-05
4,2.42599,3.5798,4.03821,4.22637,0.00111,0.15385,0.00075,0.00044,3.1194,4.14109,4.16003,5.98218e-05,5.98218e-05,5.98218e-05
5,2.97121,3.87549,4.07839,4.2147,0.00111,0.15385,0.00074,0.00043,3.1194,4.14109,4.15994,7.96832e-05,7.96832e-05,7.96832e-05
6,4.01042,3.74192,4.02345,4.28175,0.00111,0.15385,0.00075,0.00044,3.11937,4.1412,4.16059,9.9505e-05,9.9505e-05,9.9505e-05
7,4.55808,3.72858,3.8723,4.22685,0.00111,0.15385,0.00075,0.00044,3.11938,4.14116,4.16036,0.000119287,0.000119287,0.000119287
8,5.1556,3.77112,3.97239,4.24785,0.00111,0.15385,0.00075,0.00044,3.1191,4.13915,4.16008,0.00013903,0.00013903,0.00013903
9,5.70968,3.95335,4.09691,4.2087,0.00111,0.15385,0.00074,0.00048,3.1191,4.13915,4.16009,0.000158733,0.000158733,0.000158733
10,6.27821,3.69978,3.81491,4.15873,0.00111,0.15385,0.00074,0.00047,3.11798,4.13911,4.16003,0.000178396,0.000178396,0.000178396
11,6.81438,3.49821,3.88225,4.19251,0.00111,0.15385,0.00075,0.00048,3.11797,4.13918,4.15951,0.00019802,0.00019802,0.00019802
12,7.30119,3.55664,3.82625,4.18432,0.00111,0.15385,0.00075,0.00048,3.11791,4.1392,4.15946,0.000217604,0.000217604,0.000217604
13,7.98692,3.66541,3.70083,4.14089,0.00111,0.15385,0.00075,0.00044,3.11721,4.14036,4.15882,0.000237149,0.000237149,0.000237149
14,8.51198,3.16168,3.74471,4.10167,0.00111,0.15385,0.00075,0.00037,3.11709,4.14032,4.15823,0.000256654,0.000256654,0.000256654
15,9.29053,3.31719,3.51614,4.13506,0.00111,0.15385,0.00075,0.00048,3.11702,4.14046,4.15769,0.000276119,0.000276119,0.000276119
16,10.215,3.60165,3.67485,4.14631,0.00111,0.15385,0.00075,0.00048,3.11639,4.14356,4.15727,0.000295545,0.000295545,0.000295545
17,11.0568,3.29642,3.38487,4.07532,0.00111,0.15385,0.00075,0.00044,3.11834,4.14323,4.15673,0.000314931,0.000314931,0.000314931
18,11.8952,3.45343,3.49655,4.04473,0.00111,0.15385,0.00075,0.00044,3.11834,4.14323,4.15673,0.000334278,0.000334278,0.000334278
19,12.6105,2.9117,3.32834,4.07993,0.00111,0.15385,0.00075,0.00052,3.11677,4.14417,4.15617,0.000353585,0.000353585,0.000353585
20,13.166,3.55203,3.1719,3.9805,0.00111,0.15385,0.00075,0.00052,3.11677,4.14417,4.15617,0.000372852,0.000372852,0.000372852
21,13.7376,3.0537,3.23211,4.04142,0.00111,0.15385,0.0009,0.00063,3.11426,4.146,4.15561,0.00039208,0.00039208,0.00039208
22,14.2936,3.72042,3.38734,4.05306,0.00111,0.15385,0.0009,0.00063,3.11426,4.146,4.15561,0.000411268,0.000411268,0.000411268
23,15.0935,3.42825,3.25802,4.0617,0.00111,0.15385,0.00091,0.00054,3.11279,4.14924,4.1552,0.000430417,0.000430417,0.000430417
24,15.6594,3.35394,3.26491,4.05112,0.00111,0.15385,0.00091,0.00054,3.11279,4.14924,4.1552,0.000449526,0.000449526,0.000449526
25,16.2026,3.70274,3.18405,3.94917,0.00111,0.15385,0.00095,0.00056,3.114,4.15159,4.15474,0.000468595,0.000468595,0.000468595
26,16.7378,3.54053,3.35858,3.98228,0.00111,0.15385,0.00095,0.00056,3.114,4.15159,4.15474,0.000487625,0.000487625,0.000487625
27,17.2754,3.46449,2.9464,3.96056,0.00111,0.15385,0.0009,0.00053,3.11614,4.15706,4.15476,0.000506615,0.000506615,0.000506615
28,17.8191,3.3575,3.31805,3.9504,0.00111,0.15385,0.0009,0.00053,3.11614,4.15706,4.15476,0.000525566,0.000525566,0.000525566
29,18.3752,3.1397,3.22296,3.97827,0.00111,0.15385,0.00089,0.00062,3.11717,4.16424,4.15549,0.000544477,0.000544477,0.000544477
30,18.9263,3.46116,2.98027,3.87145,0.00111,0.15385,0.00089,0.00062,3.11717,4.16424,4.15549,0.000563348,0.000563348,0.000563348
