epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.704438,2.14224,3.18753,1.87471,0.00389,0.53846,0.05611,0.02865,2.36911,3.33988,1.80637,0,0,0
2,1.71607,2.3692,3.31729,1.98043,0.005,0.69231,0.02467,0.01193,2.39598,3.33733,1.802,1.99802e-05,1.99802e-05,1.99802e-05
3,2.74684,2.20418,3.35973,1.92988,0.00444,0.61538,0.05013,0.03142,2.42183,3.35425,1.82776,3.99208e-05,3.99208e-05,3.99208e-05
4,5.03267,2.30366,3.34553,2.02856,0.00444,0.61538,0.06937,0.02241,2.43235,3.36445,1.83466,5.98218e-05,5.98218e-05,5.98218e-05
5,5.55917,2.24702,3.34556,2.04273,0.00444,0.61538,0.05307,0.02514,2.45667,3.36986,1.84793,7.96832e-05,7.96832e-05,7.96832e-05
6,6.06136,2.28528,3.36607,2.0499,0.00444,0.61538,0.04345,0.01953,2.45655,3.39754,1.86488,9.9505e-05,9.9505e-05,9.9505e-05
7,6.56147,2.25593,3.2558,1.97107,0.005,0.69231,0.0752,0.03792,2.13768,3.3815,1.70177,0.000119287,0.000119287,0.000119287
8,7.33887,2.0085,3.19335,1.71639,0.005,0.69231,0.19363,0.1062,1.7781,3.29867,1.46404,0.00013903,0.00013903,0.00013903
9,8.56327,1.77999,3.17305,1.53755,0.00444,0.61538,0.25858,0.17485,1.57453,3.24774,1.38219,0.000158733,0.000158733,0.000158733
10,9.20736,1.6644,2.97754,1.56167,0.00611,0.84615,0.26882,0.1805,1.51176,3.20345,1.34099,0.000178396,0.000178396,0.000178396
11,9.83426,1.69955,2.96415,1.42831,0.00667,0.92308,0.38958,0.24184,1.46333,3.15296,1.3242,0.00019802,0.00019802,0.00019802
12,10.5139,1.6457,2.8069,1.45788,0.00722,1,0.48422,0.2783,1.38001,3.13203,1.27996,0.000217604,0.000217604,0.000217604
13,11.1416,1.68096,2.79111,1.47937,0.00722,1,0.51064,0.31377,1.28248,3.09796,1.25092,0.000237149,0.000237149,0.000237149
14,11.7589,1.41869,2.56047,1.27564,0.00722,1,0.54579,0.3748,1.27121,3.03364,1.25507,0.000256654,0.000256654,0.000256654
15,12.4146,1.4044,2.39608,1.2832,0.00722,1,0.53784,0.39536,1.36827,3.01479,1.26599,0.000276119,0.000276119,0.000276119
16,13.0217,1.44946,2.29982,1.2503,0.00722,1,0.55284,0.4043,1.37943,3.04344,1.30569,0.000295545,0.000295545,0.000295545
17,13.6872,1.41986,2.26534,1.26156,0.00722,1,0.55421,0.39124,1.38326,3.03085,1.30628,0.000314931,0.000314931,0.000314931
18,14.4314,1.66613,2.27619,1.41832,0.00722,1,0.55421,0.39124,1.38326,3.03085,1.30628,0.000334278,0.000334278,0.000334278
19,15.4105,1.38091,2.04048,1.24355,0.00722,1,0.57615,0.3112,1.30728,3.08271,1.28639,0.000353585,0.000353585,0.000353585
20,16.6095,1.4923,2.06747,1.30497,0.00722,1,0.57615,0.3112,1.30728,3.08271,1.28639,0.000372852,0.000372852,0.000372852
21,17.6925,1.45296,2.0665,1.29678,0.00667,0.92308,0.57327,0.31168,1.39783,3.0663,1.29861,0.00039208,0.00039208,0.00039208
22,18.2663,1.53459,2.09044,1.27626,0.00667,0.92308,0.57327,0.31168,1.39783,3.0663,1.29861,0.000411268,0.000411268,0.000411268
23,18.9227,1.34253,1.95234,1.23034,0.00722,1,0.6477,0.29643,1.53019,2.98959,1.23334,0.000430417,0.000430417,0.000430417
24,19.4972,1.47884,1.78383,1.25722,0.00722,1,0.6477,0.29643,1.53019,2.98959,1.23334,0.000449526,0.000449526,0.000449526
25,20.1449,1.49475,1.84232,1.29928,0.00722,1,0.68733,0.30649,1.61244,2.89168,1.29464,0.000468595,0.000468595,0.000468595
26,20.7922,1.53198,1.81312,1.30373,0.00722,1,0.68733,0.30649,1.61244,2.89168,1.29464,0.000487625,0.000487625,0.000487625
27,21.7276,1.47004,1.77887,1.30877,0.01791,0.92308,0.60755,0.31662,1.65711,2.85804,1.36498,0.000506615,0.000506615,0.000506615
28,22.615,1.40631,1.67063,1.30406,0.01791,0.92308,0.60755,0.31662,1.65711,2.85804,1.36498,0.000525566,0.000525566,0.000525566
29,23.5756,1.34792,1.56486,1.32134,1,0.45736,0.64925,0.33471,1.55279,2.82363,1.31074,0.000544477,0.000544477,0.000544477
30,24.5334,1.48658,1.51265,1.33258,1,0.45736,0.64925,0.33471,1.55279,2.82363,1.31074,0.000563348,0.000563348,0.000563348
31,25.4216,1.32754,1.64794,1.23771,0.75576,0.23077,0.60393,0.323,1.68663,2.72408,1.31035,0.00058218,0.00058218,0.00058218
32,26.0542,1.37788,1.60596,1.27392,0.75576,0.23077,0.60393,0.323,1.68663,2.72408,1.31035,0.000600972,0.000600972,0.000600972
33,26.6608,1.50361,1.62169,1.34058,0.76605,0.25547,0.54846,0.30659,1.58959,2.77485,1.25675,0.000619725,0.000619725,0.000619725
34,27.278,1.53727,1.59914,1.3313,0.76605,0.25547,0.54846,0.30659,1.58959,2.77485,1.25675,0.000638438,0.000638438,0.000638438
35,28.0654,1.34674,1.34338,1.19336,0.83346,0.38502,0.56985,0.33319,1.44152,2.72521,1.24203,0.000657111,0.000657111,0.000657111
36,28.9514,1.33559,1.4578,1.27127,0.83346,0.38502,0.56985,0.33319,1.44152,2.72521,1.24203,0.000675745,0.000675745,0.000675745
37,29.896,1.42071,1.53038,1.33307,0.84737,0.46154,0.59831,0.30146,1.3843,2.76639,1.25911,0.000694339,0.000694339,0.000694339
38,30.9935,1.48895,1.43625,1.28152,0.84737,0.46154,0.59831,0.30146,1.3843,2.76639,1.25911,0.000712894,0.000712894,0.000712894
39,31.7318,1.35859,1.35166,1.24531,1,0.35187,0.5683,0.31914,1.46841,2.75773,1.25862,0.000731409,0.000731409,0.000731409
40,32.3485,1.15912,1.31763,1.13509,1,0.35187,0.5683,0.31914,1.46841,2.75773,1.25862,0.000749884,0.000749884,0.000749884
41,32.9811,1.10509,1.50992,1.12971,1,0.29854,0.50124,0.29744,1.52276,2.7463,1.24518,0.00076832,0.00076832,0.00076832
42,33.8376,1.34636,1.52162,1.24019,1,0.29854,0.50124,0.29744,1.52276,2.7463,1.24518,0.000786716,0.000786716,0.000786716
43,34.4746,1.12989,1.39806,1.14711,0.99005,0.38462,0.46203,0.32889,1.5013,2.81957,1.2744,0.000805073,0.000805073,0.000805073
44,35.0464,1.24967,1.78272,1.21301,0.99005,0.38462,0.46203,0.32889,1.5013,2.81957,1.2744,0.00082339,0.00082339,0.00082339
45,35.7503,1.26674,1.36756,1.13376,1,0.28251,0.42001,0.26519,1.60516,2.90316,1.4032,0.000841667,0.000841667,0.000841667
46,36.3308,1.28896,1.47014,1.23747,1,0.28251,0.42001,0.26519,1.60516,2.90316,1.4032,0.000859905,0.000859905,0.000859905
47,36.9547,1.12198,1.35517,1.10152,1,0.21404,0.34441,0.1738,1.58466,3.0736,1.3735,0.000878103,0.000878103,0.000878103
48,37.5446,1.21014,1.37464,1.21875,1,0.21404,0.34441,0.1738,1.58466,3.0736,1.3735,0.000896262,0.000896262,0.000896262
49,38.1724,1.3979,1.63269,1.27274,0.38551,0.15385,0.14611,0.07435,1.75721,3.15734,1.51198,0.000914381,0.000914381,0.000914381
50,38.7828,1.17118,1.41389,1.14014,0.38551,0.15385,0.14611,0.07435,1.75721,3.15734,1.51198,0.00093246,0.00093246,0.00093246
51,39.4071,1.29488,1.6474,1.26995,0.50598,0.07692,0.20525,0.11611,1.7692,3.24602,1.51535,0.0009505,0.0009505,0.0009505
52,40.0265,1.3936,1.35332,1.29123,0.50598,0.07692,0.20525,0.11611,1.7692,3.24602,1.51535,0.0009685,0.0009685,0.0009685
53,40.6825,1.2839,1.47834,1.18859,0.50598,0.07692,0.20525,0.11611,1.7692,3.24602,1.51535,0.000986461,0.000986461,0.000986461
54,41.6425,1.1625,1.35928,1.171,0.78727,0.23077,0.37563,0.23648,1.64193,2.91527,1.47841,0.00100438,0.00100438,0.00100438
55,42.5373,1.20836,1.61216,1.15095,0.78727,0.23077,0.37563,0.23648,1.64193,2.91527,1.47841,0.00102226,0.00102226,0.00102226
56,43.4913,1.20527,1.38337,1.1462,0.78727,0.23077,0.37563,0.23648,1.64193,2.91527,1.47841,0.0010401,0.0010401,0.0010401
57,44.5681,1.18856,1.30737,1.15673,0.51272,0.15385,0.35197,0.20718,1.44698,2.89816,1.37785,0.00105791,0.00105791,0.00105791
58,45.2371,1.08504,1.29091,1.08656,0.51272,0.15385,0.35197,0.20718,1.44698,2.89816,1.37785,0.00107567,0.00107567,0.00107567
59,45.8352,1.09026,1.27347,1.11479,0.51272,0.15385,0.35197,0.20718,1.44698,2.89816,1.37785,0.00109339,0.00109339,0.00109339
60,46.4628,1.25404,1.22268,1.19068,0.67415,0.31978,0.42579,0.25542,1.42237,2.72538,1.2854,0.00111108,0.00111108,0.00111108
61,47.0943,1.07153,1.41352,1.12392,0.67415,0.31978,0.42579,0.25542,1.42237,2.72538,1.2854,0.00112872,0.00112872,0.00112872
62,47.7383,1.15479,1.29751,1.13311,0.67415,0.31978,0.42579,0.25542,1.42237,2.72538,1.2854,0.00114632,0.00114632,0.00114632
63,48.3706,1.04207,1.24782,1.13258,0.77088,0.51936,0.60876,0.34339,1.57968,2.59193,1.40218,0.00116389,0.00116389,0.00116389
64,48.9315,1.14264,1.19823,1.16819,0.77088,0.51936,0.60876,0.34339,1.57968,2.59193,1.40218,0.00118141,0.00118141,0.00118141
65,49.5586,1.15777,1.44429,1.18591,0.77088,0.51936,0.60876,0.34339,1.57968,2.59193,1.40218,0.0011989,0.0011989,0.0011989
66,50.1836,1.28586,1.21421,1.17773,0.6026,0.35244,0.49182,0.29943,1.52716,2.63333,1.37926,0.00121635,0.00121635,0.00121635
67,51.0009,1.09366,1.22155,1.16118,0.6026,0.35244,0.49182,0.29943,1.52716,2.63333,1.37926,0.00123375,0.00123375,0.00123375
68,51.6048,1.05737,1.06409,1.06926,0.6026,0.35244,0.49182,0.29943,1.52716,2.63333,1.37926,0.00125112,0.00125112,0.00125112
69,52.2395,1.03292,1.16211,1.08404,0.35448,0.38462,0.21764,0.12927,1.44198,2.87779,1.35826,0.00126844,0.00126844,0.00126844
70,52.8481,1.07589,1.068,1.13846,0.35448,0.38462,0.21764,0.12927,1.44198,2.87779,1.35826,0.00128573,0.00128573,0.00128573
71,53.4478,1.09162,1.11158,1.15015,0.35448,0.38462,0.21764,0.12927,1.44198,2.87779,1.35826,0.00130298,0.00130298,0.00130298
72,54.0617,1.07031,1.10489,1.11204,0.63595,0.23077,0.31019,0.14293,1.63443,3.09639,1.64578,0.00132019,0.00132019,0.00132019
73,54.6679,1.16204,1.31543,1.15514,0.63595,0.23077,0.31019,0.14293,1.63443,3.09639,1.64578,0.00133736,0.00133736,0.00133736
74,55.5869,1.15743,1.19747,1.1433,0.63595,0.23077,0.31019,0.14293,1.63443,3.09639,1.64578,0.00135449,0.00135449,0.00135449
75,56.547,1.28264,1.31045,1.26816,0.4022,0.23077,0.24854,0.12591,1.60929,3.03598,1.60567,0.00137158,0.00137158,0.00137158
76,57.4985,1.10771,1.22124,1.14194,0.4022,0.23077,0.24854,0.12591,1.60929,3.03598,1.60567,0.00138863,0.00138863,0.00138863
77,58.3628,0.98309,1.39089,1.10944,0.4022,0.23077,0.24854,0.12591,1.60929,3.03598,1.60567,0.00140564,0.00140564,0.00140564
78,59.1585,1.09263,1.12372,1.15036,0.34808,0.23077,0.2271,0.1011,1.62388,2.83023,1.59548,0.00142261,0.00142261,0.00142261
79,59.8298,1.17261,1.22586,1.17343,0.34808,0.23077,0.2271,0.1011,1.62388,2.83023,1.59548,0.00143954,0.00143954,0.00143954
80,60.4249,1.1125,1.07949,1.13491,0.34808,0.23077,0.2271,0.1011,1.62388,2.83023,1.59548,0.00145643,0.00145643,0.00145643
81,61.0787,1.32064,1.3138,1.28013,0.38062,0.30769,0.3321,0.17197,1.71108,2.72211,1.61862,0.00147328,0.00147328,0.00147328
82,61.6755,1.15623,1.21193,1.1144,0.38062,0.30769,0.3321,0.17197,1.71108,2.72211,1.61862,0.00149009,0.00149009,0.00149009
83,62.2783,1.09288,1.1413,1.09928,0.38062,0.30769,0.3321,0.17197,1.71108,2.72211,1.61862,0.00150686,0.00150686,0.00150686
84,62.8955,1.06233,1.23226,1.16047,0.33007,0.30769,0.3171,0.18525,1.67653,2.76153,1.56033,0.0015236,0.0015236,0.0015236
85,63.4746,1.09225,1.09573,1.06793,0.33007,0.30769,0.3171,0.18525,1.67653,2.76153,1.56033,0.00154029,0.00154029,0.00154029
