epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01709,3.00399,4.47514,4.41331,0.00073,0.23404,0.00059,0.00027,3.04317,9.80912,4.15947,2e-05,2e-05,2e-05
2,3.1387,4.31768,4.3497,4.17554,0.00073,0.23404,0.00059,0.00027,3.04324,9.80766,4.15994,5.9406e-05,5.9406e-05,5.9406e-05
3,4.12829,3.00826,4.18487,4.46475,0.00073,0.23404,0.00058,0.00025,3.04332,9.80747,4.16064,9.802e-05,9.802e-05,9.802e-05
4,5.84227,3.48234,3.96587,4.19661,0.00073,0.23404,0.0006,0.00027,3.04301,9.8002,4.16043,0.000135842,0.000135842,0.000135842
5,7.00645,4.52885,4.61133,4.18579,0.00073,0.23404,0.00052,0.00023,3.04267,9.80003,4.16043,0.000172872,0.000172872,0.000172872
6,8.08161,3.74786,4.07507,4.19819,0.00073,0.23404,0.00055,0.00026,3.04468,9.84894,4.16039,0.00020911,0.00020911,0.00020911
7,9.30676,3.09891,3.828,4.24269,0.00073,0.23404,0.00055,0.00024,3.04181,9.85269,4.16084,0.000244556,0.000244556,0.000244556
8,10.8743,3.50057,3.64901,4.16491,0.00073,0.23404,0.00055,0.00026,3.04092,9.85208,4.16061,0.00027921,0.00027921,0.00027921
9,12.6607,2.92722,4.35447,4.16328,0.00073,0.23404,0.00055,0.00025,3.04054,9.85298,4.16036,0.000313072,0.000313072,0.000313072
10,13.7105,4.06132,3.5985,4.0532,0.00073,0.23404,0.00058,0.00026,3.03978,9.85968,4.16061,0.000346142,0.000346142,0.000346142
11,14.7332,3.16369,3.35641,4.12231,0.00073,0.23404,0.00062,0.00026,3.03775,9.88284,4.16027,0.00037842,0.00037842,0.00037842
12,15.678,3.57977,2.99064,4.03836,0.00073,0.23404,0.00062,0.00027,3.03528,9.88253,4.15967,0.000409906,0.000409906,0.000409906
13,16.8084,3.319,3.04955,4.03674,0.00073,0.23404,0.00065,0.00027,3.03343,9.87318,4.16026,0.0004406,0.0004406,0.0004406
14,18.0748,2.92999,3.0687,3.99931,0.00073,0.23404,0.00263,0.00067,3.03188,9.87528,4.16012,0.000470502,0.000470502,0.000470502
15,19.1178,3.42572,3.92753,3.9534,0.00073,0.23404,0.00056,0.00025,3.0191,9.90123,4.15996,0.000499612,0.000499612,0.000499612
16,20.0886,3.44047,3.07423,3.89437,0.00073,0.23404,0.00068,0.00029,3.01863,9.91421,4.16041,0.00052793,0.00052793,0.00052793
17,21.2558,2.88167,3.5792,4.03627,0.00073,0.23404,0.00063,0.00027,3.01821,9.9369,4.161,0.000555456,0.000555456,0.000555456
18,22.2774,3.34915,3.00068,3.84135,0.00073,0.23404,0.0006,0.00027,3.01749,9.93826,4.16162,0.00058219,0.00058219,0.00058219
19,23.4989,2.90553,4.61092,4.03409,0.00073,0.23404,0.00061,0.00027,3.01157,9.93992,4.16206,0.000608132,0.000608132,0.000608132
20,25.2632,1.60366,6.59983,1.87417,0.00073,0.23404,0.00056,0.00026,3.01366,10.015,4.16441,0.000633282,0.000633282,0.000633282
21,26.8839,2.89628,2.71398,3.77891,0.00067,0.21277,0.00052,0.00024,3.00585,10.0146,4.16601,0.00065764,0.00065764,0.00065764
22,28.0178,3.18472,2.58064,3.65614,0.00067,0.21277,0.00052,0.00024,3.00741,10.1037,4.16817,0.000681206,0.000681206,0.000681206
23,29.0469,2.91888,2.83715,3.58337,0.00067,0.21277,0.0005,0.00025,3.01168,10.1499,4.16992,0.00070398,0.00070398,0.00070398
24,29.9978,3.15752,3.29122,3.44541,0.00067,0.21277,0.00051,0.00024,3.01562,10.2487,4.1748,0.000725962,0.000725962,0.000725962
25,31.086,3.03272,2.86016,3.37707,0.00073,0.23404,0.00055,0.00024,3.0179,9.688,4.17969,0.000747152,0.000747152,0.000747152
26,32.0226,3.10306,2.65929,3.37144,0.00067,0.21277,0.00051,0.00023,3.02437,9.61589,4.18465,0.00076755,0.00076755,0.00076755
27,33.0666,2.86403,2.43454,3.24569,0.00073,0.23404,0.00061,0.00025,3.03458,9.64188,4.19319,0.000787156,0.000787156,0.000787156
28,34.0762,3.41153,3.52205,3.6501,0.00073,0.23404,0.00061,0.00025,3.03458,9.64188,4.19319,0.00080597,0.00080597,0.00080597
29,35.1051,3.21224,3.10321,3.24934,0.00073,0.23404,0.00063,0.00025,3.04073,9.71084,4.20339,0.000823992,0.000823992,0.000823992
30,36.2279,2.85977,2.51406,3.30656,0.00073,0.23404,0.00065,0.00027,3.04926,9.80842,4.21451,0.000841222,0.000841222,0.000841222
31,37.4477,3.20256,2.79122,3.4397,0.00073,0.23404,0.00065,0.00027,3.04926,9.80842,4.21451,0.00085766,0.00085766,0.00085766
32,39.3112,1.52905,5.59318,1.69533,0.00073,0.23404,0.00065,0.00026,3.0609,9.91569,4.22508,0.000873306,0.000873306,0.000873306
33,40.6913,3.31897,3.44266,3.36057,0.00073,0.23404,0.00068,0.00028,3.06427,9.94685,4.23909,0.00088816,0.00088816,0.00088816
34,41.7373,3.19292,3.30518,3.67722,0.00073,0.23404,0.00068,0.00028,3.06427,9.94685,4.23909,0.000902222,0.000902222,0.000902222
35,42.6899,2.70022,2.51454,3.14828,0.00067,0.21277,0.00066,0.00027,3.07383,9.97437,4.25589,0.000915492,0.000915492,0.000915492
36,43.9565,2.85277,2.79699,3.35743,0.00067,0.21277,0.00064,0.00028,3.0791,9.20653,4.27214,0.00092797,0.00092797,0.00092797
37,44.9866,2.62045,2.32629,3.09207,0.00067,0.21277,0.00064,0.00028,3.0791,9.20653,4.27214,0.000939656,0.000939656,0.000939656
38,46.0845,2.85005,3.20952,3.31884,0.00067,0.21277,0.0007,0.00029,3.0918,5.46866,4.28874,0.00095055,0.00095055,0.00095055
39,47.1384,2.94337,2.41421,3.20679,0.00067,0.21277,0.00054,0.00026,3.09352,5.3105,4.30057,0.000960652,0.000960652,0.000960652
40,48.2261,3.09425,2.98149,3.43071,0.00067,0.21277,0.00054,0.00026,3.09352,5.3105,4.30057,0.000969962,0.000969962,0.000969962
41,49.2838,2.37332,3.79746,2.72906,0.00067,0.21277,0.00055,0.00027,3.10423,5.32896,4.30736,0.00097848,0.00097848,0.00097848
42,50.3757,2.9939,2.30514,3.03815,0.00067,0.21277,0.00057,0.00028,3.11644,5.16091,4.31773,0.000986206,0.000986206,0.000986206
43,51.9276,3.15351,2.77893,3.06154,0.00067,0.21277,0.00057,0.00028,3.11644,5.16091,4.31773,0.00099314,0.00099314,0.00099314
44,53.6265,1.52288,5.43161,1.5866,0.00067,0.21277,0.00057,0.00028,3.11505,5.15633,4.32301,0.000999282,0.000999282,0.000999282
45,54.871,2.89764,2.86473,3.46481,0.00067,0.21277,0.00057,0.00028,3.11505,5.15633,4.32301,0.00100463,0.00100463,0.00100463
46,55.9491,2.93318,2.41639,2.91384,0.00067,0.21277,0.00062,0.0003,3.12011,5.13991,4.32223,0.00100919,0.00100919,0.00100919
