epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47602,2.17374,3.21875,1.85258,0.00556,0.76923,0.07587,0.03572,2.51145,3.35122,1.79686,0,0,0
2,2.98934,2.30401,3.38951,2.0253,0.005,0.69231,0.09209,0.04234,2.52335,3.33725,1.7969,1.99802e-05,1.99802e-05,1.99802e-05
3,3.59628,2.24831,3.36178,1.99727,0.00556,0.76923,0.08333,0.03938,2.5341,3.32496,1.8111,3.99208e-05,3.99208e-05,3.99208e-05
4,4.17005,2.24929,3.32064,2.00785,0.00556,0.76923,0.08814,0.04158,2.55593,3.30655,1.83457,5.98218e-05,5.98218e-05,5.98218e-05
5,4.76734,2.33534,3.45138,2.20715,0.00556,0.76923,0.21421,0.10419,2.39437,3.28986,1.7928,7.96832e-05,7.96832e-05,7.96832e-05
6,5.32063,2.07213,3.33683,1.91521,0.00556,0.76923,0.29499,0.13432,2.24447,3.33904,1.77622,9.9505e-05,9.9505e-05,9.9505e-05
7,5.86743,2.04275,3.13653,1.7715,0.00556,0.76923,0.29551,0.14062,2.2571,3.35532,1.80366,0.000119287,0.000119287,0.000119287
8,6.39365,2.15507,3.22612,1.82664,0.00556,0.76923,0.34753,0.15785,2.11029,3.33609,1.72227,0.00013903,0.00013903,0.00013903
9,6.92529,1.86037,3.11661,1.61655,0.00667,0.92308,0.41879,0.20267,1.96119,3.27263,1.58219,0.000158733,0.000158733,0.000158733
10,7.62823,1.71821,2.69581,1.56184,0.00667,0.92308,0.46134,0.24798,1.76498,3.26554,1.49317,0.000178396,0.000178396,0.000178396
11,8.17626,1.73796,2.53906,1.42717,0.00722,1,0.4778,0.26983,1.63437,3.26771,1.42834,0.00019802,0.00019802,0.00019802
12,8.75049,1.80896,2.40309,1.5422,0.00722,1,0.4668,0.27035,1.5504,3.13193,1.37401,0.000217604,0.000217604,0.000217604
13,9.27183,1.72408,2.2384,1.53431,0.00722,1,0.45366,0.29815,1.45288,3.03481,1.30815,0.000237149,0.000237149,0.000237149
14,9.89601,1.5215,1.93375,1.35366,0.00722,1,0.54424,0.3206,1.51888,2.97435,1.32806,0.000256654,0.000256654,0.000256654
15,10.8365,1.55154,1.7076,1.3813,0.00722,1,0.53458,0.32789,1.4832,2.91408,1.3152,0.000276119,0.000276119,0.000276119
16,11.68,1.51528,1.69223,1.35357,0.00824,1,0.52004,0.3114,1.54152,2.88089,1.3374,0.000295545,0.000295545,0.000295545
17,12.9473,1.44711,1.74233,1.28064,0.0086,1,0.42293,0.25446,1.52137,2.92419,1.36309,0.000314931,0.000314931,0.000314931
18,13.7441,1.74907,2.15344,1.50332,0.0086,1,0.42293,0.25446,1.52137,2.92419,1.36309,0.000334278,0.000334278,0.000334278
19,14.2853,1.43697,1.65662,1.27218,0.00722,1,0.37097,0.24567,1.48605,2.97566,1.34625,0.000353585,0.000353585,0.000353585
20,14.8105,1.41681,1.49261,1.25984,0.00722,1,0.37097,0.24567,1.48605,2.97566,1.34625,0.000372852,0.000372852,0.000372852
