epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.79541,3.00399,4.47514,4.41331,0.00073,0.23404,0.00059,0.00027,3.04317,9.80912,4.15947,2e-05,2e-05,2e-05
2,3.41835,4.31768,4.3497,4.17554,0.00073,0.23404,0.00059,0.00027,3.04324,9.80766,4.15994,5.99406e-05,5.99406e-05,5.99406e-05
3,4.38523,3.00972,4.1887,4.46498,0.00073,0.23404,0.00058,0.00025,3.04332,9.80747,4.16064,9.9802e-05,9.9802e-05,9.9802e-05
4,6.05774,3.51163,3.98303,4.19944,0.00073,0.23404,0.0006,0.00027,3.04318,9.80717,4.16064,0.000139584,0.000139584,0.000139584
5,7.17683,4.52669,4.57349,4.20561,0.00073,0.23404,0.0006,0.00027,3.04267,9.80003,4.16057,0.000179287,0.000179287,0.000179287
6,8.34995,3.80987,4.0554,4.20976,0.00073,0.23404,0.00054,0.00025,3.04449,9.84888,4.16038,0.000218911,0.000218911,0.000218911
7,9.28355,2.97903,3.76179,4.22618,0.00073,0.23404,0.00055,0.00025,3.04204,9.85199,4.161,0.000258456,0.000258456,0.000258456
8,10.4904,3.52919,3.60427,4.1744,0.00073,0.23404,0.0007,0.00028,3.04106,9.85188,4.16086,0.000297921,0.000297921,0.000297921
9,11.591,2.9234,4.34356,4.12609,0.00073,0.23404,0.00055,0.00025,3.04069,9.8596,4.1605,0.000337307,0.000337307,0.000337307
10,12.6948,4.07695,3.5038,4.06221,0.00073,0.23404,0.00055,0.00026,3.03952,9.85973,4.16049,0.000376614,0.000376614,0.000376614
11,13.9683,3.13658,3.30399,4.11117,0.00073,0.23404,0.00055,0.00026,3.03761,9.88734,4.1603,0.000415842,0.000415842,0.000415842
12,15.6555,3.56604,2.90465,4.0046,0.00073,0.23404,0.00063,0.00026,3.03529,9.88852,4.16007,0.000454991,0.000454991,0.000454991
13,17.4574,3.25548,3.11335,4.02141,0.00073,0.23404,0.00065,0.00026,3.02494,9.86752,4.16014,0.00049406,0.00049406,0.00049406
14,18.537,2.90318,3.11432,3.96122,0.00073,0.23404,0.00059,0.00027,3.01979,9.87858,4.16023,0.00053305,0.00053305,0.00053305
15,19.6532,3.41828,3.8075,3.92119,0.00073,0.23404,0.00065,0.00027,3.02054,9.92665,4.16047,0.000571961,0.000571961,0.000571961
